Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38579e-01,0.02,0.06
5.38581e-01,0.04,-3.8147e-08
5.38582e-01,0.04,0.06
5.38584e-01,0.02,-3.8147e-08
5.38586e-01,0.04,0.06
5.38587e-01,0.02,-3.8147e-08
5.38589e-01,0.02,0.06
5.38590e-01,0.04,-3.8147e-08
5.38592e-01,0.02,0.06
5.38594e-01,0.04,-0.02
5.38595e-01,0.02,0.06
5.38597e-01,0.02,-3.8147e-08
5.38598e-01,0.04,0.06
5.38600e-01,0.04,-3.8147e-08
5.38602e-01,0.04,0.06
5.38603e-01,0.02,-3.8147e-08
5.38605e-01,0.02,0.06
5.38606e-01,0.04,-3.8147e-08
5.38608e-01,0.02,0.06
5.38610e-01,0.04,-3.8147e-08
5.38611e-01,0.04,0.06
5.38613e-01,0.02,-3.8147e-08
5.38614e-01,0.02,0.06
5.38616e-01,0.04,-3.8147e-08
5.38618e-01,0.04,0.06
5.38619e-01,0.02,-3.8147e-08
5.38621e-01,0.02,0.06
5.38622e-01,0.02,-3.8147e-08
5.38624e-01,0.04,0.06
5.38626e-01,0.02,-3.8147e-08
5.38627e-01,0.04,0.06
5.38629e-01,0.02,-3.8147e-08
5.38630e-01,0.04,0.08
5.38632e-01,0.02,-3.8147e-08
5.38634e-01,0.04,0.08
5.38635e-01,0.04,-3.8147e-08
5.38637e-01,0.02,0.06
5.38638e-01,0.04,-3.8147e-08
5.38640e-01,0.02,0.06
5.38642e-01,0.04,-3.8147e-08
5.38643e-01,0.04,0.06
5.38645e-01,0.04,-3.8147e-08
5.38646e-01,0.02,0.08
5.38648e-01,0.04,-3.8147e-08
5.38650e-01,0.04,0.06
5.38651e-01,0.02,-3.8147e-08
5.38653e-01,0.04,0.06
5.38654e-01,0.02,-3.8147e-08
5.38656e-01,0.04,0.06
5.38658e-01,0.04,-3.8147e-08
5.38659e-01,0.02,0.08
5.38661e-01,0.02,-3.8147e-08
5.38662e-01,0.04,0.08
5.38664e-01,0.04,-3.8147e-08
5.38666e-01,0.04,0.06
